"PATHWAY_ID","PATHWAY_NAME","CATEGORY_NAME"
"bioplanet_1","Inhibition of matrix metalloproteinases","Adhesion"
"bioplanet_1","Inhibition of matrix metalloproteinases","Cancer"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Adhesion"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Immune disease"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Immune system"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Immunology"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Infectious disease"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Stress response"
"bioplanet_100","Phospholipase C epsilon pathway","CellSignaling"
"bioplanet_100","Phospholipase C epsilon pathway","Circulatory system"
"bioplanet_100","Phospholipase C epsilon pathway","Endocrine and metabolic disease"
"bioplanet_100","Phospholipase C epsilon pathway","Nervous system"
"bioplanet_100","Phospholipase C epsilon pathway","Small molecule metabolism"
"bioplanet_100","Phospholipase C epsilon pathway","Transport"
"bioplanet_1000","Platelet adhesion to exposed collagen","Circulatory system"
"bioplanet_1000","Platelet adhesion to exposed collagen","Hemostasis"
"bioplanet_1002","Integrin-mediated cell adhesion","Cancer"
"bioplanet_1002","Integrin-mediated cell adhesion","Cardiovascular disease"
"bioplanet_1002","Integrin-mediated cell adhesion","Cell proliferation"
"bioplanet_1002","Integrin-mediated cell adhesion","Cellular Processes:Cellular community"
"bioplanet_1002","Integrin-mediated cell adhesion","Immune system"
"bioplanet_1002","Integrin-mediated cell adhesion","Infectious disease"
"bioplanet_1002","Integrin-mediated cell adhesion","Nervous system"
"bioplanet_1002","Integrin-mediated cell adhesion","Neurological disease"
"bioplanet_1003","Apoptotic cleavage of cell adhesion  proteins","Cancer"
"bioplanet_1003","Apoptotic cleavage of cell adhesion  proteins","Cell death"
"bioplanet_1003","Apoptotic cleavage of cell adhesion  proteins","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1004","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","Cellular Processes:Cellular community"
"bioplanet_1004","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","Immune system"
"bioplanet_1004","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","Infectious disease"
"bioplanet_1005","Apoptotic execution  phase","Cancer"
"bioplanet_1005","Apoptotic execution  phase","Cell death"
"bioplanet_1005","Apoptotic execution  phase","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1006","Apoptosis","Cancer"
"bioplanet_1006","Apoptosis","Cell death"
"bioplanet_1006","Apoptosis","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1006","Apoptosis","Immune system"
"bioplanet_1006","Apoptosis","Stress response"
"bioplanet_1007","Apoptotic factor-mediated response","Cardiovascular disease"
"bioplanet_1007","Apoptotic factor-mediated response","Cell death"
"bioplanet_1007","Apoptotic factor-mediated response","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1007","Apoptotic factor-mediated response","Neurological disease"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Cardiovascular disease"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Cell death"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Immune system"
"bioplanet_1009","Apoptosis modulation by HSP70","Cardiovascular disease"
"bioplanet_1009","Apoptosis modulation by HSP70","Cell death"
"bioplanet_1009","Apoptosis modulation by HSP70","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1009","Apoptosis modulation by HSP70","Neurological disease"
"bioplanet_101","Phospholipase C signaling pathway","CellSignaling"
"bioplanet_101","Phospholipase C signaling pathway","Circulatory system"
"bioplanet_101","Phospholipase C signaling pathway","Immune system"
"bioplanet_101","Phospholipase C signaling pathway","Small molecule metabolism"
"bioplanet_1010","Formation of apoptosome","Cell death"
"bioplanet_1010","Formation of apoptosome","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1010","Formation of apoptosome","Immune system"
"bioplanet_1010","Formation of apoptosome","Stress response"
"bioplanet_1011","Apoptosis regulation","Cell death"
"bioplanet_1011","Apoptosis regulation","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1011","Apoptosis regulation","DNA repair"
"bioplanet_1011","Apoptosis regulation","Immune system"
"bioplanet_1011","Apoptosis regulation","Stress response"
"bioplanet_1012","Apoptosis intrinsic pathway","Cancer"
"bioplanet_1012","Apoptosis intrinsic pathway","Cell death"
"bioplanet_1012","Apoptosis intrinsic pathway","Cell proliferation"
"bioplanet_1012","Apoptosis intrinsic pathway","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1012","Apoptosis intrinsic pathway","Neurological disease"
"bioplanet_1012","Apoptosis intrinsic pathway","Reproduction"
"bioplanet_1012","Apoptosis intrinsic pathway","Stress response"
"bioplanet_1013","Influenza virus-induced apoptosis","Cell death"
"bioplanet_1013","Influenza virus-induced apoptosis","Human Diseases:Infectious diseases"
"bioplanet_1013","Influenza virus-induced apoptosis","Infectious disease"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Cardiovascular disease"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Cell death"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Stress response"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Cancer"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Cell death"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Immune system"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Small molecule metabolism"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Stress response"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Cancer"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Cell death"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Immune system"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Stress response"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Cancer"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Cell death"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Immune system"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Stress response"
"bioplanet_1018","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization","Cell death"
"bioplanet_1018","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization","Human Diseases:Infectious diseases"
"bioplanet_1018","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization","Neurological disease"
"bioplanet_1019","DCC role in regulating apoptosis","Cancer"
"bioplanet_1019","DCC role in regulating apoptosis","Cell death"
"bioplanet_1019","DCC role in regulating apoptosis","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1019","DCC role in regulating apoptosis","Infectious disease"
"bioplanet_102","Phosphoinositides and their downstream targets","Cardiovascular disease"
"bioplanet_102","Phosphoinositides and their downstream targets","Cell death"
"bioplanet_102","Phosphoinositides and their downstream targets","CellSignaling"
"bioplanet_102","Phosphoinositides and their downstream targets","Immune system"
"bioplanet_102","Phosphoinositides and their downstream targets","Infectious disease"
"bioplanet_102","Phosphoinositides and their downstream targets","Small molecule metabolism"
"bioplanet_1020","Breakdown of the nuclear lamina","Cell death"
"bioplanet_1020","Breakdown of the nuclear lamina","Cell division"
"bioplanet_1020","Breakdown of the nuclear lamina","Cell proliferation"
"bioplanet_1020","Breakdown of the nuclear lamina","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1020","Breakdown of the nuclear lamina","Stress response"
"bioplanet_1021","Activation of DNA fragmentation factor","Cell death"
"bioplanet_1021","Activation of DNA fragmentation factor","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1021","Activation of DNA fragmentation factor","Stress response"
"bioplanet_1022","Caspase-mediated cleavage of cytoskeletal proteins","Cell death"
"bioplanet_1022","Caspase-mediated cleavage of cytoskeletal proteins","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1022","Caspase-mediated cleavage of cytoskeletal proteins","Stress response"
"bioplanet_1023","Inactivation of BCL-2 by BH3-only proteins","Cancer"
"bioplanet_1023","Inactivation of BCL-2 by BH3-only proteins","Cell death"
"bioplanet_1023","Inactivation of BCL-2 by BH3-only proteins","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1023","Inactivation of BCL-2 by BH3-only proteins","Infectious disease"
"bioplanet_1023","Inactivation of BCL-2 by BH3-only proteins","Stress response"
"bioplanet_1024","Activation and myristolyation of BID and its translocation to mitochondria","Cell death"
"bioplanet_1024","Activation and myristolyation of BID and its translocation to mitochondria","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1024","Activation and myristolyation of BID and its translocation to mitochondria","Stress response"
"bioplanet_1025","Cell cycle","Cancer"
"bioplanet_1025","Cell cycle","Cell division"
"bioplanet_1025","Cell cycle","Cell proliferation"
"bioplanet_1025","Cell cycle","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1025","Cell cycle","DNA repair"
"bioplanet_1025","Cell cycle","DNA replication"
"bioplanet_1025","Cell cycle","Immune disease"
"bioplanet_1025","Cell cycle","Stress response"
"bioplanet_1026","Cell cycle checkpoints","Cell death"
"bioplanet_1026","Cell cycle checkpoints","Cell division"
"bioplanet_1026","Cell cycle checkpoints","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1026","Cell cycle checkpoints","DNA repair"
"bioplanet_1026","Cell cycle checkpoints","DNA replication"
"bioplanet_1026","Cell cycle checkpoints","Nucleic acid metabolism"
"bioplanet_1026","Cell cycle checkpoints","Stress response"
"bioplanet_1026","Cell cycle checkpoints","Transcriptional regulation"
"bioplanet_1027","G1 to S cell cycle control","Cancer"
"bioplanet_1027","G1 to S cell cycle control","Cell division"
"bioplanet_1027","G1 to S cell cycle control","Cell proliferation"
"bioplanet_1027","G1 to S cell cycle control","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1027","G1 to S cell cycle control","DNA repair"
"bioplanet_1027","G1 to S cell cycle control","DNA replication"
"bioplanet_1028","Influenza factor interactions with host","Human Diseases:Infectious diseases"
"bioplanet_1028","Influenza factor interactions with host","Infectious disease"
"bioplanet_1028","Influenza factor interactions with host","RNA processing"
"bioplanet_1029","Assembly of the ORC complex at the origin of replication","Cell division"
"bioplanet_1029","Assembly of the ORC complex at the origin of replication","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1029","Assembly of the ORC complex at the origin of replication","DNA replication"
"bioplanet_1029","Assembly of the ORC complex at the origin of replication","Genetic disease"
"bioplanet_103","Ion channel function in vascular endothelium","Cardiovascular disease"
"bioplanet_103","Ion channel function in vascular endothelium","CellSignaling"
"bioplanet_103","Ion channel function in vascular endothelium","Circulatory system"
"bioplanet_103","Ion channel function in vascular endothelium","Nucleic acid metabolism"
"bioplanet_103","Ion channel function in vascular endothelium","Transport"
"bioplanet_1030","Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks","DNA repair"
"bioplanet_1030","Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks","DNA replication"
"bioplanet_1030","Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks","Endocrine and metabolic disease"
"bioplanet_1030","Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks","Genetic Information Processing:Replication and repair"
"bioplanet_1030","Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks","Reproduction"
"bioplanet_1031","Assembly of influenza viral components at the budding site","Human Diseases:Infectious diseases"
"bioplanet_1031","Assembly of influenza viral components at the budding site","Immune system"
"bioplanet_1031","Assembly of influenza viral components at the budding site","Infectious disease"
"bioplanet_1031","Assembly of influenza viral components at the budding site","Protein folding, sorting and degradation"
"bioplanet_1032","Assembly of HIV virion","Human Diseases:Infectious diseases"
"bioplanet_1032","Assembly of HIV virion","Immune disease"
"bioplanet_1032","Assembly of HIV virion","Immune system"
"bioplanet_1032","Assembly of HIV virion","Infectious disease"
"bioplanet_1032","Assembly of HIV virion","Protein folding, sorting and degradation"
"bioplanet_1032","Assembly of HIV virion","Small molecule metabolism"
"bioplanet_1032","Assembly of HIV virion","Stress response"
"bioplanet_1032","Assembly of HIV virion","Transport"
"bioplanet_1033","","Organismal Systems:Immune system"
"bioplanet_1034","Chromosome maintenance","Cancer"
"bioplanet_1034","Chromosome maintenance","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1034","Chromosome maintenance","DNA repair"
"bioplanet_1034","Chromosome maintenance","DNA replication"
"bioplanet_1034","Chromosome maintenance","Transcription"
"bioplanet_1035","CDC6 association with the ORC-origin complex","Cell division"
"bioplanet_1035","CDC6 association with the ORC-origin complex","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1035","CDC6 association with the ORC-origin complex","DNA replication"
"bioplanet_1035","CDC6 association with the ORC-origin complex","Genetic disease"
"bioplanet_1036","Influenza viral RNA transcription and replication","DNA repair"
"bioplanet_1036","Influenza viral RNA transcription and replication","Human Diseases:Infectious diseases"
"bioplanet_1036","Influenza viral RNA transcription and replication","Infectious disease"
"bioplanet_1036","Influenza viral RNA transcription and replication","RNA processing"
"bioplanet_1036","Influenza viral RNA transcription and replication","Transcription"
"bioplanet_1036","Influenza viral RNA transcription and replication","Translation"
"bioplanet_1037","Deposition of new CENP-A-containing nucleosomes at the centromere","Cell division"
"bioplanet_1037","Deposition of new CENP-A-containing nucleosomes at the centromere","Cellular Processes:Cell growth and death:Cell Cycle"
"bioplanet_1037","Deposition of new CENP-A-containing nucleosomes at the centromere","Transcription"
"bioplanet_1037","Deposition of new CENP-A-containing nucleosomes at the centromere","Translation"
"bioplanet_1038","DNA repair","DNA repair"
"bioplanet_1038","DNA repair","DNA replication"
"bioplanet_1038","DNA repair","Genetic Information Processing:Replication and repair"
"bioplanet_1038","DNA repair","Genetic disease"
"bioplanet_1038","DNA repair","Nucleic acid metabolism"
"bioplanet_1038","DNA repair","Stress response"
"bioplanet_1039","Double-strand break repair","Cancer"
"bioplanet_1039","Double-strand break repair","Cell proliferation"
"bioplanet_1039","Double-strand break repair","DNA repair"
"bioplanet_1039","Double-strand break repair","DNA replication"
"bioplanet_1039","Double-strand break repair","Genetic Information Processing:Replication and repair"
"bioplanet_1039","Double-strand break repair","Stress response"
"bioplanet_104","Ras signaling pathway","Cancer"
"bioplanet_104","Ras signaling pathway","Cardiovascular disease"
"bioplanet_104","Ras signaling pathway","Cell proliferation"
"bioplanet_104","Ras signaling pathway","CellSignaling"
"bioplanet_104","Ras signaling pathway","Circulatory system"
"bioplanet_104","Ras signaling pathway","DNA repair"
"bioplanet_104","Ras signaling pathway","Stress response"
"bioplanet_1040","ATM-mediated phosphorylation of repair proteins","Cancer"
"bioplanet_1040","ATM-mediated phosphorylation of repair proteins","DNA repair"
"bioplanet_1040","ATM-mediated phosphorylation of repair proteins","Genetic Information Processing:Replication and repair"
"bioplanet_1040","ATM-mediated phosphorylation of repair proteins","Protein modification"
"bioplanet_1040","ATM-mediated phosphorylation of repair proteins","Stress response"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","Cell proliferation"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","DNA repair"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","DNA replication"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","Genetic Information Processing:Replication and repair"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","Genetic disease"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","Nucleic acid metabolism"
"bioplanet_1041","Global genomic nucleotide excision repair (GG-NER)","Stress response"
"bioplanet_1042","DNA double-strand break processing","Cell division"
"bioplanet_1042","DNA double-strand break processing","DNA repair"
"bioplanet_1042","DNA double-strand break processing","DNA replication"
"bioplanet_1042","DNA double-strand break processing","Genetic Information Processing:Replication and repair"
"bioplanet_1042","DNA double-strand break processing","Nucleic acid metabolism"
"bioplanet_1042","DNA double-strand break processing","Stress response"
"bioplanet_1043","Transport to the Golgi and subsequent modification","Carbohydrate metabolism"
"bioplanet_1043","Transport to the Golgi and subsequent modification","Cellular Processes:Transport and catabolism"
"bioplanet_1043","Transport to the Golgi and subsequent modification","Endocrine and metabolic disease"
"bioplanet_1043","Transport to the Golgi and subsequent modification","Protein modification"
"bioplanet_1043","Transport to the Golgi and subsequent modification","Small molecule metabolism"
"bioplanet_1043","Transport to the Golgi and subsequent modification","Transport"
"bioplanet_1044","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","Carbohydrate metabolism"
"bioplanet_1044","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","Digestive system"
"bioplanet_1044","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","Endocrine system"
"bioplanet_1044","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","Environmental Information Processing:Membrane transport"
"bioplanet_1044","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","Small molecule metabolism"
"bioplanet_1044","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","Transport"
"bioplanet_1045","Transport of inorganic cations/anions and amino acids/oligopeptides","Digestive system"
"bioplanet_1045","Transport of inorganic cations/anions and amino acids/oligopeptides","Environmental Information Processing:Membrane transport"
"bioplanet_1045","Transport of inorganic cations/anions and amino acids/oligopeptides","Nervous system"
"bioplanet_1045","Transport of inorganic cations/anions and amino acids/oligopeptides","Small molecule metabolism"
"bioplanet_1045","Transport of inorganic cations/anions and amino acids/oligopeptides","Transport"
"bioplanet_1046","Transport of vitamins, nucleosides, and related molecules","Environmental Information Processing:Membrane transport"
"bioplanet_1046","Transport of vitamins, nucleosides, and related molecules","Nucleic acid metabolism"
"bioplanet_1046","Transport of vitamins, nucleosides, and related molecules","Transport"
"bioplanet_1046","Transport of vitamins, nucleosides, and related molecules","Vitamin and cofactor metabolism"
"bioplanet_1047","Transport of mature mRNAs derived from intronless transcripts","Cell division"
"bioplanet_1047","Transport of mature mRNAs derived from intronless transcripts","Genetic Information Processing:Translation"
"bioplanet_1047","Transport of mature mRNAs derived from intronless transcripts","Infectious disease"
"bioplanet_1047","Transport of mature mRNAs derived from intronless transcripts","RNA processing"
"bioplanet_1047","Transport of mature mRNAs derived from intronless transcripts","Transcription"
"bioplanet_1047","Transport of mature mRNAs derived from intronless transcripts","Transport"
"bioplanet_1048","Transport of mature transcript to cytoplasm","Genetic Information Processing:Translation"
"bioplanet_1048","Transport of mature transcript to cytoplasm","RNA processing"
"bioplanet_1048","Transport of mature transcript to cytoplasm","Transcription"
"bioplanet_1048","Transport of mature transcript to cytoplasm","Transcriptional regulation"
"bioplanet_1048","Transport of mature transcript to cytoplasm","Translation"
"bioplanet_1048","Transport of mature transcript to cytoplasm","Transport"
"bioplanet_1049","Transport of fatty acids","Digestive system"
"bioplanet_1049","Transport of fatty acids","Endocrine and metabolic disease"
"bioplanet_1049","Transport of fatty acids","Environmental Information Processing:Membrane transport"
"bioplanet_1049","Transport of fatty acids","Lipid metabolism"
"bioplanet_1049","Transport of fatty acids","Small molecule metabolism"
"bioplanet_1049","Transport of fatty acids","Transport"
"bioplanet_105","Modulation of interferon signaling by chaperones","Cardiovascular disease"
"bioplanet_105","Modulation of interferon signaling by chaperones","CellSignaling"
"bioplanet_105","Modulation of interferon signaling by chaperones","Immune system"
"bioplanet_105","Modulation of interferon signaling by chaperones","Nervous system"
"bioplanet_105","Modulation of interferon signaling by chaperones","Protein folding, sorting and degradation"
"bioplanet_105","Modulation of interferon signaling by chaperones","Stress response"
"bioplanet_1050","Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","Environmental Information Processing:Membrane transport"
"bioplanet_1050","Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","Nucleic acid metabolism"
"bioplanet_1050","Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","Small molecule metabolism"
"bioplanet_1050","Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","Transport"
"bioplanet_1051","Transport of nucleotide sugars","Environmental Information Processing:Membrane transport"
"bioplanet_1051","Transport of nucleotide sugars","Nucleic acid metabolism"
"bioplanet_1051","Transport of nucleotide sugars","Small molecule metabolism"
"bioplanet_1051","Transport of nucleotide sugars","Transport"
"bioplanet_1052","Transport of organic anions","Environmental Information Processing:Membrane transport"
"bioplanet_1052","Transport of organic anions","Small molecule metabolism"
"bioplanet_1052","Transport of organic anions","Transport"
"bioplanet_1053","Ion transport by P-type ATPases","Circulatory system"
"bioplanet_1053","Ion transport by P-type ATPases","Digestive system"
"bioplanet_1053","Ion transport by P-type ATPases","Environmental Information Processing:Membrane transport"
"bioplanet_1053","Ion transport by P-type ATPases","Excretory system"
"bioplanet_1053","Ion transport by P-type ATPases","Transport"
"bioplanet_1054","ABCA transporters in lipid homeostasis","Digestive system"
"bioplanet_1054","ABCA transporters in lipid homeostasis","Environmental Information Processing:Membrane transport"
"bioplanet_1054","ABCA transporters in lipid homeostasis","Lipid metabolism"
"bioplanet_1054","ABCA transporters in lipid homeostasis","Small molecule metabolism"
"bioplanet_1054","ABCA transporters in lipid homeostasis","Transport"
"bioplanet_1055","Zinc transporters","Environmental Information Processing:Membrane transport"
"bioplanet_1055","Zinc transporters","Transport"
"bioplanet_1056","Hexose transport","Carbohydrate metabolism"
"bioplanet_1056","Hexose transport","Endocrine and metabolic disease"
"bioplanet_1056","Hexose transport","Environmental Information Processing:Membrane transport"
"bioplanet_1056","Hexose transport","Small molecule metabolism"
"bioplanet_1056","Hexose transport","Transport"
"bioplanet_1057","Passive transport by aquaporins","Environmental Information Processing:Membrane transport"
"bioplanet_1057","Passive transport by aquaporins","Stress response"
"bioplanet_1057","Passive transport by aquaporins","Transport"
"bioplanet_1058","Inositol transporters","Environmental Information Processing:Membrane transport"
"bioplanet_1058","Inositol transporters","Transport"
"bioplanet_1059","Electron transport chain","Endocrine and metabolic disease"
"bioplanet_1059","Electron transport chain","Energy metabolism"
"bioplanet_1059","Electron transport chain","Genetic disease"
"bioplanet_1059","Electron transport chain","Metabolism:Energy metabolism"
"bioplanet_1059","Electron transport chain","Neurological disease"
"bioplanet_1059","Electron transport chain","Small molecule metabolism"
"bioplanet_1059","Electron transport chain","Transport"
"bioplanet_106","","CellSignaling"
"bioplanet_1060","Potassium transport channels","Cardiovascular disease"
"bioplanet_1060","Potassium transport channels","Environmental Information Processing:Membrane transport"
"bioplanet_1060","Potassium transport channels","Nervous system"
"bioplanet_1060","Potassium transport channels","Small molecule metabolism"
"bioplanet_1060","Potassium transport channels","Transport"
"bioplanet_1061","Serotonin transporter activity","Carbohydrate metabolism"
"bioplanet_1061","Serotonin transporter activity","Nervous system"
"bioplanet_1061","Serotonin transporter activity","Organismal Systems:Nervous system"
"bioplanet_1061","Serotonin transporter activity","Small molecule metabolism"
"bioplanet_1061","Serotonin transporter activity","Transport"
"bioplanet_1062","Monoamine transport","Circulatory system"
"bioplanet_1062","Monoamine transport","Neurological disease"
"bioplanet_1062","Monoamine transport","Organismal Systems:Nervous system"
"bioplanet_1062","Monoamine transport","Small molecule metabolism"
"bioplanet_1062","Monoamine transport","Stress response"
"bioplanet_1062","Monoamine transport","Transport"
"bioplanet_1063","Amino acid transport across the plasma membrane","Endocrine and metabolic disease"
"bioplanet_1063","Amino acid transport across the plasma membrane","Environmental Information Processing:Membrane transport"
"bioplanet_1063","Amino acid transport across the plasma membrane","Genetic disease"
"bioplanet_1063","Amino acid transport across the plasma membrane","Transport"
"bioplanet_1064","Ion channel transport","DNA repair"
"bioplanet_1064","Ion channel transport","Digestive system"
"bioplanet_1064","Ion channel transport","Environmental Information Processing:Membrane transport"
"bioplanet_1064","Ion channel transport","Excretory system"
"bioplanet_1064","Ion channel transport","Neurological disease"
"bioplanet_1064","Ion channel transport","Transport"
"bioplanet_1065","Bicarbonate transporters","Digestive system"
"bioplanet_1065","Bicarbonate transporters","Endocrine and metabolic disease"
"bioplanet_1065","Bicarbonate transporters","Environmental Information Processing:Membrane transport"
"bioplanet_1065","Bicarbonate transporters","Excretory system"
"bioplanet_1065","Bicarbonate transporters","Genetic disease"
"bioplanet_1065","Bicarbonate transporters","Transport"
"bioplanet_1066","COPI-mediated vesicle transport","Cellular Processes:Transport and catabolism"
"bioplanet_1066","COPI-mediated vesicle transport","Protein folding, sorting and degradation"
"bioplanet_1066","COPI-mediated vesicle transport","Protein modification"
"bioplanet_1066","COPI-mediated vesicle transport","Transport"
"bioplanet_1067","Transmembrane transport of small molecules","Carbohydrate metabolism"
"bioplanet_1067","Transmembrane transport of small molecules","Endocrine and metabolic disease"
"bioplanet_1067","Transmembrane transport of small molecules","Environmental Information Processing:Membrane transport"
"bioplanet_1067","Transmembrane transport of small molecules","Nervous system"
"bioplanet_1067","Transmembrane transport of small molecules","Small molecule metabolism"
"bioplanet_1067","Transmembrane transport of small molecules","Transport"
"bioplanet_1068","","Environmental Information Processing:Membrane transport"
"bioplanet_1069","Organic anion transporters","Environmental Information Processing:Membrane transport"
"bioplanet_1069","Organic anion transporters","Excretory system"
"bioplanet_1069","Organic anion transporters","Nervous system"
"bioplanet_1069","Organic anion transporters","Transport"
"bioplanet_1069","Organic anion transporters","Xenobiotic metabolism"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","Cell proliferation"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","CellSignaling"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","Circulatory system"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","Endocrine and metabolic disease"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","Musculoskeletal system"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","Protein modification"
"bioplanet_107","Sprouty regulation of tyrosine kinase signals","Stress response"
"bioplanet_1070","Metal ion solute carrier family (SLC) transporters","Environmental Information Processing:Membrane transport"
"bioplanet_1070","Metal ion solute carrier family (SLC) transporters","Transport"
"bioplanet_1071","Organic cation transport","Environmental Information Processing:Membrane transport"
"bioplanet_1071","Organic cation transport","Environmental adaptation"
"bioplanet_1071","Organic cation transport","Nervous system"
"bioplanet_1071","Organic cation transport","Transport"
"bioplanet_1071","Organic cation transport","Xenobiotic metabolism"
"bioplanet_1072","Iron uptake and transport","Cancer"
"bioplanet_1072","Iron uptake and transport","Circulatory system"
"bioplanet_1072","Iron uptake and transport","Environmental Information Processing:Membrane transport"
"bioplanet_1072","Iron uptake and transport","Small molecule metabolism"
"bioplanet_1072","Iron uptake and transport","Transport"
"bioplanet_1073","Type II sodium/phosphate cotransporters","Digestive system"
"bioplanet_1073","Type II sodium/phosphate cotransporters","Environmental Information Processing:Membrane transport"
"bioplanet_1073","Type II sodium/phosphate cotransporters","Transport"
"bioplanet_1074","Mitochondrial ABC transporters","Environmental Information Processing:Membrane transport"
"bioplanet_1074","Mitochondrial ABC transporters","Genetic disease"
"bioplanet_1074","Mitochondrial ABC transporters","Small molecule metabolism"
"bioplanet_1074","Mitochondrial ABC transporters","Transport"
